person_age,annual_inc,home_ownership,employment_length,loan_intent,loan_grade,loan_amt,interest_rate,target_flag,income_ratio,employment_type,residence_type,credit_score,monthly_income,loan_status_final,repayment_flag,last_payment_status,random_score_1,random_score_2,duplicate_feature
24,28000.0,OWN,6.0,HOMEIMPROVEMENT,B,10000.0,,0,0.36,employed,URBAN,679.0,1740.0,-0.010149165707990838,0.0035049479471198873,100,9.988735038591845,201,24
27,64000.0,RENT,0.0,PERSONAL,C,10000.0,15.27,0,0.16,Employed,URBAN,853.0,5880.0,-0.005993027886237254,0.012072621252014422,100,71.59717842411182,870,27
26,,MORTGAGE,,EDUCATION,D,16000.0,,0,0.22,self_emp,Rural,598.0,2340.0,0.003946440833566661,0.03730289694427643,100,55.60942179322218,555,26
25,63000.0,MORTGAGE,2.0,HOMEIMPROVEMENT,B,20000.0,9.99,0,0.32,Employed,Rural,855.0,4800.0,-0.011672094856143591,-0.05776451715296066,100,40.10965682575179,605,25
26,,RENT,2.0,VENTURE,B,6000.0,9.99,0,0.22,self_emp,Rural,514.0,7620.0,0.0028158340508583424,0.03808142320731936,100,80.757156565936,951,26
30,40000.0,RENT,8.0,VENTURE,A,,5.79,0,0.06,self_emp,Rural,890.0,7860.0,-0.0018186006579016193,0.003972254963638998,100,26.70094565289416,818,30
26,90000.0,RENT,2.0,DEBTCONSOLIDATION,C,9600.0,13.85,0,0.11,employed,Urban,667.0,4800.0,0.021572158874477373,-0.06405781713993489,100,38.14169278677553,846,26
35,41235.0,OWN,7.0,MEDICAL,A,,7.14,0,0.07,Self-employed,Rural,541.0,4200.0,0.0003660365656307895,0.02640727348520022,100,1.3493001193543464,230,35
21,26400.0,RENT,5.0,PERSONAL,C,4750.0,12.23,0,0.18,employed,Rural,,5040.0,0.01814252827700275,-0.047270331959758556,100,55.53207730533509,290,21
26,59500.0,MORTGAGE,9.0,VENTURE,A,12000.0,6.62,0,0.2,employed,URBAN,,13500.0,-0.0117038359810434,0.053439777757882,100,85.14638001660191,921,26
